Wine,Alcohol,Malic.acid,Ash,Acl,Mg,Phenols,Flavanoids,Nonflavanoid.phenols,Proanth,Color.int,Hue,OD,Proline
3,14.34,2.81,2.74,25.0,96,1.98,0.5,0.53,0.75,4.92,0.82,2.06,590
1,13.68,1.83,2.36,16.6,111,2.88,2.94,0.42,1.62,4.8,0.93,3.38,1060
1,14.12,1.76,2.27,18.0,108,2.95,3.4,0.28,2.38,8.9,1.01,2.88,1510
1,13.64,1.81,2.36,16.6,89,2.65,2.88,0.42,1.69,5.6,1.08,2.75,1060
2,12.6,1.36,2.1,24.0,88,3.5,2.14,0.4,2.49,2.6,1.07,3.1,420
2,12.99,0.9,2.28,18.0,87,2.2,2.21,0.3,1.44,4.8,1.23,3.12,714
2,12.08,1.51,2.2,21.5,86,1.45,1.25,0.5,1.63,1.74,1.05,2.27,450
3,13.88,3.59,2.19,22.0,96,1.41,0.48,0.53,0.68,5.7,0.89,2.05,520
3,13.52,4.6,2.35,18.5,92,1.8,0.5,0.63,0.68,5.7,0.96,2.05,550
2,12.0,0.92,2.42,18.0,99,2.2,1.94,0.22,1.46,2.85,0.96,3.57,380
3,13.17,3.45,2.38,20.0,104,1.59,0.75,0.43,0.86,7.65,0.54,1.68,685
3,12.96,5.65,2.48,22.0,89,1.48,0.65,0.52,0.86,5.5,0.77,1.82,520
3,12.51,3.45,2.36,21.0,97,1.38,1.09,0.5,0.83,5.5,0.75,2.05,510
2,13.11,1.67,1.92,16.0,86,2.5,2.86,0.39,1.77,2.57,0.69,3.38,685
3,13.62,2.96,2.3,22.0,89,1.93,0.51,0.52,0.8,7.65,0.56,1.58,470
2,13.67,0.94,2.6,18.0,88,2.53,1.3,0.3,1.35,2.45,1.11,2.01,392
2,13.05,3.86,1.75,19.5,107,3.18,2.58,0.26,2.01,2.6,0.82,2.81,530
3,13.71,2.31,2.54,20.0,107,1.54,0.6,0.43,0.81,3.85,0.76,2.15,685
2,12.29,3.17,2.0,20.5,94,2.56,2.27,0.35,1.22,3.05,0.96,3.1,278
1,13.83,1.57,2.62,17.2,93,2.2,2.43,0.31,1.57,4.2,1.1,2.3,1295
1,13.64,1.66,2.7,19.5,132,2.6,2.76,0.5,1.97,3.52,1.02,2.57,735
2,12.16,1.61,2.92,28.5,119,2.13,5.08,0.4,1.54,3.94,1.36,2.3,678
2,12.0,2.68,2.19,21.0,85,2.85,3.15,0.39,2.81,5.3,0.86,3.39,672
3,12.82,3.7,2.38,20.0,92,1.74,0.83,0.44,1.04,10.26,0.54,1.68,560
2,12.37,1.17,2.62,18.1,88,2.95,2.79,0.37,1.65,4.6,1.19,3.16,680
1,14.39,3.59,2.65,17.6,115,3.0,2.65,0.3,1.66,4.32,0.82,3.31,760
1,13.71,1.83,2.36,16.6,89,2.6,2.88,0.27,1.69,5.6,1.15,3.13,1285
3,13.49,2.46,2.69,25.0,97,1.55,0.58,0.56,1.1,5.58,0.66,1.74,725
1,13.24,1.78,2.14,18.8,96,2.53,2.43,0.27,1.04,3.95,1.05,3.4,1105
2,12.22,1.73,1.92,16.0,97,2.2,1.85,0.35,1.15,2.06,0.94,2.23,345
3,13.16,3.91,2.6,24.5,106,1.4,0.6,0.4,0.96,5.0,0.57,1.68,675
2,12.08,2.13,1.94,19.6,97,2.6,2.65,0.37,1.35,2.06,0.86,3.19,438
2,12.37,1.63,2.31,24.5,101,1.88,1.84,0.43,1.03,2.2,1.33,2.52,450
1,13.83,1.9,2.68,17.1,102,3.25,2.79,0.39,2.04,7.8,1.23,2.88,1515
2,11.81,2.08,2.32,18.0,96,2.23,2.17,0.3,1.46,2.4,1.27,3.17,450
1,13.71,1.43,2.7,22.5,96,2.2,2.43,0.29,1.44,3.52,1.09,2.51,880
2,12.72,1.81,2.39,22.5,85,1.92,1.84,0.43,1.46,3.05,0.93,2.77,488
1,14.75,1.64,2.39,14.0,106,2.5,2.99,0.43,1.54,5.25,1.04,3.26,1045
2,12.42,2.55,2.5,21.6,94,1.95,1.75,0.48,1.63,3.6,0.96,2.31,406
1,13.39,3.84,2.28,16.2,102,2.41,2.69,0.34,1.98,4.6,1.04,3.0,1290
1,13.9,2.16,2.3,16.3,102,2.61,2.33,0.21,1.98,4.7,0.86,2.78,760
3,12.25,3.88,2.38,18.5,88,2.3,0.92,0.63,1.14,7.65,0.67,1.73,855
2,13.05,1.67,1.75,19.5,94,2.2,2.53,0.26,1.4,4.6,1.04,3.48,530
1,13.56,1.71,2.36,17.2,117,3.15,3.4,0.2,1.97,6.8,0.91,3.31,985
2,11.56,1.67,2.27,18.0,98,1.61,1.57,0.61,0.62,2.6,1.71,1.59,607
3,13.62,3.83,2.36,20.0,89,1.68,0.5,0.48,1.15,7.65,0.78,1.56,550
2,11.81,1.47,1.92,18.5,86,1.45,1.02,0.39,1.64,3.05,1.05,2.27,870
3,13.48,2.39,2.62,22.5,111,1.4,0.96,0.29,1.11,5.58,0.66,1.75,600
2,12.29,2.83,2.73,21.5,104,1.6,1.5,0.58,1.62,3.8,1.04,2.31,365
2,12.99,5.8,2.39,24.5,101,3.18,2.89,0.21,2.01,3.38,0.87,2.81,380
3,12.58,1.9,2.2,18.5,122,2.0,0.68,0.5,1.46,10.68,0.57,1.62,520
2,12.51,1.73,2.17,21.0,85,2.2,1.92,0.34,1.56,2.62,1.04,3.16,378
2,12.43,1.53,2.21,20.4,87,3.5,2.58,0.24,2.49,2.76,1.04,3.44,886
2,12.25,1.73,2.46,21.6,86,1.92,1.84,0.45,1.44,2.9,1.02,2.44,450
1,13.3,1.97,3.22,25.0,124,2.63,2.68,0.47,1.98,4.2,1.16,3.16,735
1,13.07,2.05,2.4,20.5,107,3.0,2.98,0.19,2.38,6.25,0.98,3.22,1120
1,13.56,1.71,2.65,16.1,93,2.4,2.61,0.31,1.97,3.8,0.92,2.87,970
1,13.28,2.59,2.56,18.0,113,2.64,2.68,0.17,1.92,3.52,0.86,2.78,845
3,12.82,5.51,2.48,21.5,89,1.48,0.65,0.47,0.97,7.65,0.64,1.83,625
2,12.34,0.99,1.94,18.0,85,2.53,2.65,0.39,1.04,1.95,0.69,3.28,378
1,13.05,1.6,2.1,12.4,97,2.45,2.43,0.17,2.91,6.2,1.25,2.48,780
3,14.13,4.95,2.23,22.5,98,1.41,0.34,0.52,0.8,5.5,0.89,1.58,520
1,14.2,1.63,2.45,16.0,127,3.27,3.39,0.28,1.97,7.8,1.23,2.9,1450
1,13.05,3.8,2.29,16.2,103,2.64,2.76,0.34,1.69,3.58,0.89,3.0,760
2,11.62,2.05,2.42,18.0,112,3.02,2.26,0.32,1.35,2.4,1.0,2.93,345
1,13.05,1.73,2.1,11.2,97,2.45,2.37,0.26,2.08,3.58,1.04,2.69,1035
2,11.64,2.05,1.7,15.0,97,1.61,1.5,0.28,1.15,2.06,1.13,2.14,562
2,12.37,1.63,2.28,16.0,101,2.5,2.25,0.63,1.9,3.25,1.25,2.87,365
2,12.51,1.73,2.24,19.0,81,1.6,1.57,0.37,1.63,2.62,0.96,2.77,580
2,12.33,0.99,1.92,19.0,85,1.9,1.84,0.39,2.08,3.4,0.86,2.65,352
2,12.29,2.83,1.92,19.0,97,2.56,2.27,0.32,1.31,1.28,1.42,2.96,564
2,12.7,1.81,2.02,20.5,88,2.2,2.13,0.3,2.01,3.3,1.16,3.02,392
3,12.87,3.91,2.38,20.0,104,1.39,1.22,0.17,1.04,4.1,0.78,1.33,714
2,12.08,3.43,1.92,19.0,107,1.63,1.25,0.34,1.15,2.15,1.15,2.12,438
2,12.42,1.61,2.16,22.5,108,1.38,1.36,0.52,1.35,3.05,0.95,1.82,450
2,12.0,0.89,2.78,21.0,103,2.2,2.53,0.26,1.98,2.65,0.79,3.08,520
1,13.3,1.78,2.14,18.8,94,2.53,2.43,0.27,1.04,3.95,1.05,2.91,1095
1,14.19,1.73,2.48,15.6,112,3.88,3.74,0.32,1.97,6.75,0.86,3.38,1480
3,12.2,3.03,2.64,21.0,88,1.83,0.58,0.44,1.25,8.6,0.56,1.68,520
2,12.22,1.29,2.1,19.0,88,2.56,2.26,0.25,1.77,2.7,1.16,3.13,290
1,13.56,1.71,2.61,20.0,101,2.8,3.19,0.4,1.95,5.7,1.19,3.0,1375
2,13.05,3.86,3.23,20.0,103,3.18,2.03,0.3,1.15,2.45,1.03,3.17,392
3,13.17,5.04,2.32,18.5,120,1.65,0.69,0.43,1.46,10.68,0.55,1.86,835
2,11.03,2.4,2.13,21.0,88,3.02,2.58,0.21,1.83,2.12,0.8,3.39,380
3,12.58,2.51,2.28,18.5,94,1.62,0.68,0.61,0.94,5.28,0.77,1.58,510
2,12.64,1.34,2.4,24.5,88,2.42,2.29,0.4,1.46,2.6,1.31,2.78,428
1,13.16,1.64,2.52,17.8,95,2.4,2.19,0.22,2.35,5.64,1.25,2.82,1235
1,13.9,4.04,2.44,15.6,128,2.6,2.51,0.25,1.66,3.8,1.03,3.47,990
2,11.03,2.4,2.78,28.5,88,3.18,2.58,0.4,1.83,2.08,0.8,2.81,520
2,12.47,1.52,2.27,22.0,90,2.95,2.99,0.45,1.77,6.0,0.93,3.39,495
3,13.23,3.3,2.38,21.5,104,1.8,1.22,0.24,1.25,8.42,0.48,1.29,425
3,12.81,4.61,2.48,21.5,86,1.48,0.61,0.47,1.25,8.42,0.59,1.86,625
2,12.0,1.09,1.7,15.0,151,2.05,1.28,0.14,1.56,3.05,1.18,2.27,562
2,11.62,1.67,2.1,19.0,80,1.61,1.5,0.52,2.08,3.4,1.25,2.31,466
1,13.29,1.64,2.84,15.5,110,2.63,2.68,0.34,1.92,4.6,1.09,2.78,880
3,13.78,1.35,2.75,23.5,107,1.48,0.52,0.29,0.64,3.85,0.88,2.31,560
1,14.22,3.99,2.44,16.0,116,2.8,2.94,0.3,1.85,6.3,1.04,3.17,1065
2,12.99,5.8,1.7,15.0,86,2.86,2.99,0.3,1.95,3.94,0.91,3.64,530
3,12.25,3.03,2.32,19.0,96,1.38,0.63,0.5,1.1,6.62,0.67,1.74,880
2,12.0,0.92,2.23,21.0,101,2.2,2.53,0.26,1.35,2.06,1.23,3.48,380
2,11.03,2.4,2.23,18.0,96,3.02,2.26,0.21,3.58,3.25,0.8,3.39,380
2,12.04,1.47,1.92,16.0,151,2.02,1.09,0.34,1.56,2.85,1.06,2.26,625
3,13.17,2.58,2.37,20.0,106,1.65,0.7,0.53,0.97,7.65,0.64,1.74,740
3,13.4,3.7,2.36,18.5,89,1.93,0.5,0.63,0.68,5.7,0.91,1.82,550
2,12.08,1.39,2.28,16.0,97,2.74,2.99,0.39,1.77,3.94,0.69,3.26,438
2,12.21,1.29,2.28,16.0,97,2.56,2.65,0.55,1.66,2.85,1.45,2.87,495
1,13.3,1.97,2.4,20.5,101,2.7,2.98,0.26,2.38,6.2,1.07,3.59,1060
3,12.25,4.72,2.64,25.0,112,1.79,0.78,0.5,1.04,5.0,0.89,1.8,510
2,11.41,0.74,1.71,19.0,97,2.2,2.53,0.24,2.29,2.5,1.71,3.14,710
2,11.62,1.35,2.31,20.0,87,2.74,2.92,0.17,1.77,3.25,1.16,3.13,345
2,12.08,4.3,1.95,16.0,151,2.83,2.99,0.45,2.91,2.3,0.75,3.69,495
2,12.07,1.33,1.36,17.5,97,2.55,2.65,0.24,2.29,3.05,1.23,2.96,718
2,11.76,1.72,1.99,20.8,78,1.1,1.02,0.32,1.35,1.74,1.08,1.82,870
1,13.82,1.89,2.59,15.0,101,3.25,3.67,0.17,1.87,5.43,1.07,3.44,1190
3,14.34,2.99,2.48,20.0,80,0.98,0.7,0.27,1.24,8.42,0.59,1.36,415
3,12.86,2.56,2.48,21.5,112,1.3,1.36,0.24,1.26,10.8,0.59,1.47,480
3,13.27,3.37,2.38,21.5,104,1.41,0.75,0.4,1.03,8.21,0.58,1.62,675
2,12.16,1.45,2.23,21.5,84,1.45,1.25,0.5,1.63,1.95,1.08,3.07,407
2,12.7,1.75,2.46,21.6,80,1.92,1.75,0.45,1.35,2.45,1.45,2.01,502
1,13.51,1.8,2.31,16.2,111,3.15,3.17,0.34,2.34,4.9,1.02,2.85,1065
3,12.87,5.51,2.48,21.5,95,1.48,0.65,0.53,0.86,5.7,0.77,1.58,520
3,12.86,2.76,2.7,21.0,96,1.83,0.76,0.53,0.97,4.92,0.91,2.06,600
3,13.08,2.46,2.37,21.5,106,1.41,0.7,0.53,0.86,4.9,0.76,1.58,725
3,13.62,1.68,2.7,24.5,105,2.2,0.52,0.39,0.64,4.92,1.36,2.06,695
3,14.16,2.39,2.74,23.5,96,2.05,0.52,0.52,0.64,5.88,0.66,1.74,725
2,11.66,1.35,1.92,18.0,78,2.02,1.92,0.39,2.08,4.68,0.69,3.57,625
3,13.17,1.35,2.75,21.0,116,2.2,1.28,0.26,1.56,7.9,0.58,1.33,714
2,11.66,1.88,2.0,20.8,97,1.61,0.99,0.34,1.53,2.06,1.23,3.07,625
3,12.84,4.95,2.48,23.0,89,1.74,0.61,0.61,1.25,8.42,0.7,1.56,480
1,13.05,1.6,2.1,17.0,98,2.45,2.37,0.32,1.35,4.25,1.05,2.77,1295
2,13.03,1.67,2.28,22.5,90,1.78,1.69,0.45,1.56,4.6,1.45,2.77,488
3,12.88,3.57,2.36,22.0,106,1.7,0.7,0.43,0.86,7.65,0.56,1.68,750
2,12.77,0.98,2.21,18.0,87,1.9,1.75,0.43,2.08,3.9,0.93,2.01,630
1,13.88,1.9,2.8,17.1,102,3.0,2.79,0.34,1.68,6.3,1.13,2.78,1320
2,12.37,0.94,1.7,16.0,80,1.95,1.28,0.14,0.83,4.68,1.19,2.23,562
1,14.12,4.04,2.44,18.8,111,3.4,3.32,0.3,1.86,8.7,0.82,3.33,760
3,13.16,3.59,2.48,22.0,92,1.48,0.65,0.52,0.86,5.7,0.77,2.05,520
1,14.75,1.64,2.39,11.4,127,3.1,3.39,0.28,2.81,6.6,1.12,2.88,1515
2,12.08,1.39,1.7,17.5,88,2.55,2.65,0.24,2.29,2.85,1.28,2.96,718
2,12.33,1.1,2.28,21.5,84,3.38,2.58,0.24,1.65,2.76,1.04,3.44,886
1,13.77,1.5,2.5,16.7,93,2.2,2.53,0.32,2.08,3.8,1.1,2.77,990
1,13.71,1.86,2.41,20.5,101,2.61,2.9,0.22,1.76,3.84,1.12,3.59,990
3,13.73,3.17,2.69,24.5,107,1.55,0.58,0.53,0.81,4.6,0.81,2.06,695
2,12.64,1.34,1.75,19.5,92,1.98,1.6,0.28,1.35,2.0,1.12,2.77,415
2,12.47,1.53,2.36,22.5,85,2.95,2.79,0.45,2.49,2.6,1.45,2.96,365
2,11.76,1.33,2.2,20.4,162,2.74,2.99,0.21,1.77,3.94,1.12,3.59,750
1,13.76,1.67,2.36,16.4,127,2.6,2.33,0.5,1.36,3.8,1.25,2.82,990
3,13.4,2.56,2.35,18.0,89,1.39,0.5,0.61,0.64,9.899999,0.56,1.63,480
3,13.49,2.76,2.69,25.0,97,1.55,0.6,0.53,1.1,5.0,0.89,1.8,590
1,14.37,1.95,2.72,20.0,120,3.0,2.65,0.39,1.92,5.24,1.13,2.57,735
1,14.22,3.99,2.44,16.0,116,2.8,2.94,0.25,1.85,6.3,0.89,3.31,680
3,12.25,3.03,2.32,19.0,96,1.38,0.49,0.52,0.73,5.7,0.75,2.05,510
2,12.37,1.63,2.26,22.0,108,2.0,1.6,0.34,1.56,2.7,0.94,2.26,438
1,14.22,1.7,2.3,15.2,118,3.2,3.0,0.27,2.19,6.13,1.09,3.44,780
3,12.96,2.39,2.28,18.5,94,1.39,0.66,0.63,0.94,5.28,0.75,1.58,725
1,13.29,1.78,2.14,12.4,92,2.48,2.43,0.26,2.08,4.38,1.05,2.69,770
2,13.11,1.01,2.46,24.0,88,3.38,2.89,0.21,1.96,3.38,1.36,2.96,410
3,12.82,1.9,2.4,24.0,98,2.8,1.1,0.5,2.29,10.52,0.57,1.62,660
2,12.0,0.92,1.82,16.0,151,2.42,2.65,0.26,3.28,3.05,1.38,2.96,710
3,12.81,5.04,2.48,21.5,86,1.48,0.65,0.53,0.86,5.7,0.77,1.82,520
1,13.5,1.81,2.31,17.5,111,3.15,3.0,0.22,2.34,4.9,1.16,3.17,1035
1,13.77,1.67,2.41,16.0,127,2.6,2.51,0.5,1.25,3.8,1.25,2.74,1020
2,12.6,1.34,2.27,22.5,108,2.42,2.01,0.43,1.56,2.57,1.23,2.31,365
2,12.69,1.53,2.32,22.5,84,1.38,1.36,0.52,1.35,2.45,1.04,2.06,315
2,11.64,1.35,1.99,20.8,85,1.98,1.92,0.3,1.53,1.95,1.16,3.16,495
1,14.19,1.76,2.45,16.5,112,3.3,3.17,0.32,1.97,6.75,1.09,2.85,1450
1,14.19,2.15,2.61,18.6,120,2.6,2.51,0.31,1.25,5.05,0.86,3.38,1080
2,12.08,2.08,2.2,18.0,86,2.6,2.65,0.45,1.35,3.25,1.06,3.2,607
1,13.87,1.75,2.28,18.9,126,2.6,2.33,0.32,1.25,3.95,1.05,3.1,1105
1,13.28,1.72,2.14,12.4,97,2.45,2.43,0.17,2.91,6.25,1.12,2.69,780
3,12.88,5.51,2.54,21.5,95,1.83,0.6,0.5,1.06,8.5,0.64,1.92,725
1,14.02,2.02,3.22,25.0,124,2.6,2.33,0.39,1.25,4.2,1.0,2.57,830
1,14.21,1.76,2.45,16.5,91,2.5,2.52,0.29,1.98,5.0,1.12,2.85,1290
3,12.79,3.91,2.38,24.0,92,1.48,0.76,0.61,0.97,7.65,0.54,1.48,650
1,14.37,3.59,2.28,14.6,105,3.25,3.04,0.27,2.19,4.9,1.04,3.44,1065
2,13.05,0.9,1.92,10.6,86,2.53,2.5,0.27,2.91,2.6,1.38,2.63,530
3,13.58,1.35,2.64,22.5,107,2.2,0.58,0.27,0.96,5.88,0.66,1.75,600
1,13.68,1.86,2.7,17.2,101,3.0,2.91,0.31,1.46,6.3,1.25,3.0,1235
1,14.22,3.99,2.44,16.5,113,3.27,3.17,0.25,1.86,7.05,0.87,3.36,845
1,14.23,1.71,2.43,17.4,106,2.85,2.65,0.32,1.98,5.24,0.92,3.33,970
2,11.56,1.88,2.24,19.0,98,1.61,1.5,0.52,0.62,2.4,1.71,1.59,680
1,14.38,3.59,2.29,14.6,105,3.2,3.17,0.27,2.19,4.9,1.04,3.71,1065
1,14.38,3.59,2.28,14.6,105,3.25,3.04,0.27,2.03,6.38,1.04,3.55,780
2,13.86,1.25,1.71,17.5,85,1.85,1.84,0.24,1.04,3.4,1.28,2.78,392
2,12.99,3.86,2.39,23.0,88,1.65,1.25,0.37,1.46,4.6,0.84,2.77,463
1,13.05,1.65,2.1,11.2,97,2.4,2.41,0.26,2.08,4.25,1.04,2.48,920
3,13.88,1.9,2.7,23.5,98,2.8,1.1,0.52,2.7,13.0,0.57,1.6,660
1,13.73,1.67,2.25,16.4,118,2.6,2.76,0.21,1.69,4.7,1.02,3.47,1280
2,11.62,1.88,1.82,19.5,86,2.9,2.99,0.21,1.35,3.94,1.16,2.87,718
3,14.34,2.46,2.74,23.5,96,1.98,0.76,0.53,1.25,9.7,0.57,1.62,650
1,13.58,3.1,2.67,17.6,115,2.86,3.32,0.31,1.66,5.65,1.23,2.88,1235
2,12.42,4.43,1.92,19.0,87,2.62,2.65,0.37,2.91,2.15,0.91,3.0,278
1,13.83,1.57,2.62,20.0,96,2.2,2.43,0.29,1.57,4.2,1.09,2.3,1105
3,13.11,2.59,2.35,18.0,106,1.65,0.7,0.53,0.94,5.28,0.96,1.58,750
3,13.17,3.27,2.15,18.5,112,1.59,0.96,0.53,0.84,7.65,0.64,1.73,675
2,13.67,1.51,1.88,16.8,86,2.55,2.86,0.26,1.77,2.57,1.23,3.13,714
2,12.37,0.94,2.46,17.0,110,1.9,1.85,0.43,0.42,1.95,1.23,1.59,450
3,13.45,3.55,2.38,21.5,89,1.35,0.76,0.4,1.03,9.58,0.57,1.62,615
3,13.48,4.12,2.26,20.0,103,1.8,0.47,0.43,0.8,5.7,0.96,2.05,750
1,13.07,1.5,2.1,11.2,97,2.4,2.19,0.17,1.28,3.58,1.06,2.69,1020
2,12.21,1.19,1.9,16.0,97,2.1,1.09,0.29,1.46,2.85,1.06,2.27,625
1,13.39,1.77,2.62,19.0,110,3.0,3.0,0.34,1.86,5.04,1.04,2.84,1045
2,12.29,1.61,2.13,19.0,80,1.65,2.03,0.61,1.64,3.4,1.25,2.87,406
2,11.82,1.13,1.36,15.0,97,1.85,1.28,0.14,0.73,1.95,1.18,2.52,415
3,13.17,1.9,2.64,25.5,112,2.2,0.92,0.43,0.94,4.92,1.31,2.15,570
2,11.79,2.68,2.32,18.0,96,2.56,2.11,0.25,1.31,2.6,0.96,3.2,290
1,13.56,1.71,2.31,17.5,117,3.15,3.4,0.22,2.34,6.13,0.89,3.53,795
3,13.16,3.7,2.36,21.5,120,1.41,1.39,0.24,1.26,4.0,0.48,1.3,985
3,12.88,5.19,2.54,23.0,95,2.32,0.47,0.52,0.88,4.92,0.89,2.11,580
2,11.41,1.51,2.42,18.0,99,1.45,1.25,0.5,1.15,3.25,0.95,2.14,450
1,13.72,1.83,2.41,16.0,111,3.3,3.17,0.2,1.86,5.43,1.09,3.71,1320
1,12.85,1.65,2.52,17.8,95,2.4,2.41,0.22,2.35,5.6,1.19,3.63,1285
1,13.86,1.57,2.21,18.9,94,2.45,2.52,0.27,1.4,3.95,0.95,3.14,1060
2,11.79,3.43,2.4,20.0,96,2.0,1.64,0.22,1.15,2.8,0.96,2.23,290
2,12.37,1.13,2.67,18.1,94,2.74,2.79,0.37,1.87,2.9,0.96,2.84,520
1,13.73,1.73,2.36,16.4,89,2.6,2.76,0.34,1.69,3.8,1.11,3.1,1020
1,14.06,1.68,2.27,15.6,98,2.98,3.15,0.22,2.08,5.75,1.09,3.71,1045
3,12.82,2.46,2.2,19.5,86,1.4,0.66,0.48,0.97,6.62,0.58,1.78,480
3,13.69,3.45,2.3,19.5,90,1.35,0.66,0.48,1.24,4.0,0.59,1.58,620
1,14.75,1.64,2.39,14.0,106,2.5,2.99,0.3,3.28,6.25,0.98,3.28,1120
1,13.94,4.04,2.51,15.2,116,3.4,3.04,0.3,2.04,6.75,1.04,3.17,1515
3,12.6,5.51,2.64,25.0,112,1.79,0.78,0.5,1.04,5.0,0.82,1.69,515
3,12.2,3.88,2.2,21.0,102,1.25,0.47,0.43,1.15,9.4,0.67,2.0,855
3,13.62,4.28,2.26,22.5,88,1.62,0.34,0.61,0.88,5.7,0.81,1.82,550
1,13.77,1.73,2.36,16.0,89,2.6,2.51,0.29,1.36,5.6,1.15,2.9,1375
2,13.67,1.66,1.98,14.8,78,1.65,2.03,0.3,0.83,3.4,1.02,2.69,372
3,13.58,4.61,2.86,25.0,96,1.98,0.76,0.53,1.41,7.6,0.7,1.56,650
3,13.52,3.12,2.62,24.0,97,1.7,0.56,0.5,0.8,4.35,0.82,2.11,550
2,12.47,1.53,1.98,14.8,136,2.02,1.09,0.34,1.56,3.8,1.23,2.01,870
1,13.86,1.9,2.8,15.0,115,2.95,3.29,0.37,1.66,6.6,1.07,2.93,1130
3,12.36,2.39,2.4,18.5,97,1.38,0.83,0.6,0.83,5.7,0.75,2.05,510
1,14.2,1.59,2.45,15.2,108,2.85,2.98,0.34,2.08,5.1,0.88,3.33,970
1,13.72,1.43,2.5,16.8,94,2.45,2.61,0.42,1.97,4.2,1.23,2.31,1295
2,12.51,1.73,2.2,19.0,103,2.2,2.53,0.37,1.4,2.62,1.05,3.12,345
1,13.77,1.73,2.25,16.4,98,2.98,3.15,0.21,1.81,7.22,1.12,2.88,1045
3,13.5,3.3,2.69,25.0,97,1.55,0.58,0.56,1.06,5.0,0.81,1.8,520
1,14.06,1.63,2.32,18.0,106,2.88,3.54,0.32,1.95,6.9,0.95,3.22,1680
3,13.48,2.39,2.54,23.0,111,1.7,0.96,0.27,1.25,9.7,0.57,1.62,630
2,13.34,1.66,1.92,16.0,78,1.65,2.03,0.39,0.83,3.4,0.69,2.48,415
3,13.27,3.45,2.15,21.0,102,1.8,0.58,0.43,1.4,7.6,0.55,1.71,750
2,12.17,1.45,2.28,21.5,84,1.45,1.02,0.37,1.56,1.95,1.05,3.07,870
2,12.7,1.81,2.28,22.5,84,1.78,1.32,0.45,1.46,3.3,1.02,2.01,488
2,11.46,1.51,2.28,18.0,87,1.45,1.25,0.37,1.42,2.6,1.05,2.27,428
1,12.85,1.6,2.84,21.0,98,2.4,2.64,0.37,1.97,3.93,1.12,2.87,880
3,12.85,2.39,2.2,20.0,103,1.15,0.47,0.53,0.64,9.899999,0.57,1.36,725
3,12.58,2.58,2.64,25.5,97,1.79,0.6,0.63,1.1,5.0,0.87,1.8,515
2,11.82,1.47,2.28,16.0,97,2.46,2.25,0.63,1.46,3.05,1.02,2.5,450
2,12.34,2.45,1.36,15.0,85,2.45,2.17,0.24,2.29,2.06,0.9,3.63,718
2,12.34,0.99,2.58,24.0,101,2.2,2.53,0.4,1.98,3.0,1.31,2.3,680
1,13.56,1.71,2.46,20.5,106,3.0,2.98,0.19,1.86,5.1,1.04,3.71,1035
1,14.3,1.71,2.3,14.6,126,2.8,3.06,0.22,2.1,5.1,1.04,3.47,1035
1,13.24,1.72,2.14,12.4,100,2.7,3.03,0.26,1.28,5.2,1.25,2.9,1280
2,12.22,1.19,1.9,18.0,86,1.85,1.75,0.29,1.04,3.27,1.28,2.23,562
2,12.29,2.83,2.67,21.6,98,1.6,1.5,0.58,1.62,3.6,1.23,2.31,406
2,12.08,4.31,2.2,18.0,88,2.62,2.65,0.37,2.91,2.15,0.75,3.0,312
3,12.86,2.81,2.7,21.0,96,1.83,0.5,0.53,0.73,4.92,0.91,2.31,600
2,11.82,1.72,2.24,19.0,98,2.2,2.53,0.26,1.35,2.6,0.94,3.14,438
1,13.83,1.75,2.42,16.0,111,3.88,3.74,0.24,1.97,7.5,0.86,3.36,1260
1,13.39,1.77,2.62,16.1,94,2.48,2.68,0.28,1.98,4.38,0.92,3.37,885
2,11.61,1.99,2.21,21.5,84,1.78,1.32,0.43,1.44,1.95,1.16,3.07,500
2,12.69,1.81,2.42,24.5,88,1.92,1.75,0.27,1.4,3.05,1.31,2.72,428
2,11.46,0.74,2.23,21.0,101,2.48,2.01,0.42,1.56,2.06,1.1,2.31,345
2,11.81,2.08,1.9,19.0,86,2.23,2.17,0.26,1.43,3.8,0.97,3.48,710
3,13.49,3.45,2.54,21.5,123,1.83,1.57,0.22,1.25,8.42,0.48,1.29,835
1,13.64,3.1,2.56,15.2,116,2.86,2.98,0.17,1.66,5.1,0.96,3.36,760
3,13.78,4.12,2.38,20.0,90,1.8,0.76,0.47,1.35,9.2,0.56,1.71,625
2,11.81,2.16,2.21,18.0,96,2.6,2.65,0.17,1.35,3.25,1.06,3.47,380
1,14.23,1.71,2.43,16.0,106,2.85,3.06,0.34,2.08,5.04,0.88,3.33,985
3,12.2,4.72,2.64,25.0,112,1.9,0.78,0.27,1.14,7.5,0.74,1.69,520
2,12.52,1.73,2.2,20.4,86,1.1,1.36,0.58,1.62,2.94,0.96,1.82,495
1,13.51,1.8,2.36,16.6,111,2.96,3.17,0.2,1.81,5.65,1.12,3.44,1320
2,12.16,1.45,2.13,19.0,88,1.45,1.25,0.37,1.63,2.7,1.08,2.26,428
1,13.76,1.5,2.7,19.5,132,2.95,2.91,0.5,1.97,7.3,1.23,2.88,1450
3,12.86,4.28,2.2,21.0,93,1.7,0.34,0.53,0.68,7.65,0.64,1.74,740
1,13.9,1.68,2.27,16.0,108,2.88,2.94,0.21,1.85,7.3,1.12,3.55,1045
3,14.16,3.91,2.48,19.5,80,0.98,0.65,0.27,1.41,7.3,0.6,1.33,415
3,13.27,5.51,2.35,21.5,88,1.28,0.49,0.5,0.88,4.9,0.77,1.75,520
